2025-08-22 21:38:06,384 INFO: GitLab Analytics Hub startup [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:32]
2025-08-22 21:38:06,386 INFO: --- PATH DEBUGGING --- [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:35]
2025-08-22 21:38:06,387 INFO: App Root Path: D:\Documents\Code\gitlab-automation-suite\app [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:36]
2025-08-22 21:38:06,387 INFO: App Template Folder: templates [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:37]
2025-08-22 21:38:06,388 INFO: Full Template Path: D:\Documents\Code\gitlab-automation-suite\app\templates [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:38]
2025-08-22 21:38:06,389 INFO: --- END PATH DEBUGGING --- [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:39]
2025-08-22 21:38:08,670 INFO: --- BLUEPRINT DEBUGGING --- [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:46]
2025-08-22 21:38:08,671 INFO: Registered Blueprint: 'main' [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:48]
2025-08-22 21:38:08,671 INFO:   - Blueprint Template Folder: ../templates [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:49]
2025-08-22 21:38:08,672 INFO: --- END BLUEPRINT DEBUGGING --- [in D:\Documents\Code\gitlab-automation-suite\app\__init__.py:50]
2025-08-22 21:38:48,703 INFO: Successfully connected to GitLab at https://emu.hinagro.com [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:27]
2025-08-22 21:38:48,704 INFO: Generating Triage to Milestone Lag Report based on milestone due dates. [in D:\Documents\Code\gitlab-automation-suite\app\main\logic.py:368]
2025-08-22 21:38:52,535 INFO: Fetched ALL 114 issues with filters: {'milestone': '2025-Jun-03', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:38:54,475 INFO: Fetched ALL 84 issues with filters: {'milestone': '2025-Jun-10', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:38:57,303 INFO: Fetched ALL 75 issues with filters: {'milestone': '2025-Jun-17', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:38:59,203 INFO: Fetched ALL 87 issues with filters: {'milestone': '2025-Jul-01', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:39:00,519 INFO: Fetched ALL 45 issues with filters: {'milestone': '2025-Jul-08', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:39:01,542 INFO: Fetched ALL 45 issues with filters: {'milestone': '2025-Jul-15', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:39:03,182 INFO: Fetched ALL 67 issues with filters: {'milestone': '2025-Jul-22', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:39:05,058 INFO: Fetched ALL 97 issues with filters: {'milestone': '2025-Aug-05', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:39:06,781 INFO: Fetched ALL 88 issues with filters: {'milestone': '2025-Aug-12', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:39:08,403 INFO: Fetched ALL 67 issues with filters: {'milestone': '2025-Aug-19', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:39:09,647 INFO: Fetched ALL 44 issues with filters: {'milestone': '2025-Sep-02', 'all': True, 'include_subgroups': True} [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:299]
2025-08-22 21:42:24,937 INFO: Successfully connected to GitLab at https://emu.hinagro.com [in D:\Documents\Code\gitlab-automation-suite\app\main\services.py:27]
